#include <iostream>, PREPROCESSOR, 1
using namespace std, using_namespace_std, 3
;, SEMI, 3
int, KW_INT, 5
main, VARIABLE, 5
(, LPAREN, 5
), RPAREN, 5
{, LBRACE, 6
int, KW_INT, 7
n, VARIABLE, 7
=, ASSIGN, 7
5, INT_CONST, 7
;, SEMI, 7
cin, KW_CIN, 8
>>, EXTRACTIONOP, 8
n, VARIABLE, 8
;, SEMI, 8
if, KW_IF, 9
(, LPAREN, 9
n, VARIABLE, 9
>, RELOP, 9
10, INT_CONST, 9
), RPAREN, 9
{, LBRACE, 10
if, KW_IF, 11
(, LPAREN, 11
n, VARIABLE, 11
>, RELOP, 11
15, INT_CONST, 11
), RPAREN, 11
{, LBRACE, 12
cout, KW_COUT, 13
<<, INSERTIONOP, 13
"YES", STRING, 13
<<, INSERTIONOP, 13
endl, VARIABLE, 13
;, SEMI, 13
}, RBRACE, 14
else, KW_ELSE, 15
{, LBRACE, 16
cout, KW_COUT, 17
<<, INSERTIONOP, 17
"NO", STRING, 17
<<, INSERTIONOP, 17
endl, VARIABLE, 17
;, SEMI, 17
}, RBRACE, 18
}, RBRACE, 19
else, KW_ELSE, 20
{, LBRACE, 21
cout, KW_COUT, 22
<<, INSERTIONOP, 22
"hello", STRING, 22
;, SEMI, 22
}, RBRACE, 23
}, RBRACE, 24
